Year ,zip,naics,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000
2002,44114,339999,1,0,0,0,1,0,0,0,0,0
2002,44115,339999,2,0,0,1,1,0,0,0,0,0
2002,44113,421110,1,0,0,1,0,0,0,0,0,0
2002,44115,421110,1,1,0,0,0,0,0,0,0,0
2002,44113,421120,1,0,0,0,1,0,0,0,0,0
2002,44114,421120,3,1,1,0,0,0,1,0,0,0
2002,44115,421120,3,2,0,0,1,0,0,0,0,0
2002,44114,421130,1,0,0,0,0,1,0,0,0,0
2002,44115,421130,1,0,0,0,1,0,0,0,0,0
2002,44113,421140,1,0,1,0,0,0,0,0,0,0
2002,44115,421140,1,1,0,0,0,0,0,0,0,0
2002,44113,421210,1,1,0,0,0,0,0,0,0,0
2002,44114,421210,2,0,1,1,0,0,0,0,0,0
2002,44115,421210,4,1,0,2,1,0,0,0,0,0
2002,44115,421310,1,0,1,0,0,0,0,0,0,0
2002,44113,421320,4,2,2,0,0,0,0,0,0,0
2002,44113,421330,1,0,1,0,0,0,0,0,0,0
2002,44114,421420,5,2,1,1,0,0,1,0,0,0
2002,44115,421420,2,0,1,1,0,0,0,0,0,0
2002,44113,421430,2,2,0,0,0,0,0,0,0,0
2002,44114,421430,4,2,0,0,1,0,0,1,0,0
2002,44115,421430,1,0,1,0,0,0,0,0,0,0
2002,44114,421440,2,1,0,1,0,0,0,0,0,0
2002,44115,421440,1,0,0,0,0,1,0,0,0,0
2002,44114,421450,3,1,0,1,1,0,0,0,0,0
2002,44115,421450,1,0,1,0,0,0,0,0,0,0
2002,44114,421490,1,0,1,0,0,0,0,0,0,0
2002,44113,421510,3,1,1,0,1,0,0,0,0,0
2002,44114,421510,8,1,3,3,1,0,0,0,0,0
2002,44115,421510,1,1,0,0,0,0,0,0,0,0
2002,44113,421520,1,1,0,0,0,0,0,0,0,0
2002,44114,421520,1,1,0,0,0,0,0,0,0,0
2002,44113,421610,1,1,0,0,0,0,0,0,0,0
2002,44114,421610,1,0,1,0,0,0,0,0,0,0
2002,44115,421610,2,0,1,1,0,0,0,0,0,0
2002,44114,421690,4,2,1,0,0,1,0,0,0,0
2002,44115,421690,1,0,1,0,0,0,0,0,0,0
2002,44113,421710,2,1,0,0,1,0,0,0,0,0
2002,44114,421710,7,3,1,0,2,0,0,1,0,0
2002,44114,421720,1,1,0,0,0,0,0,0,0,0
2002,44114,421730,8,2,1,1,3,1,0,0,0,0
2002,44114,421810,1,0,1,0,0,0,0,0,0,0
2002,44113,421830,4,0,1,2,1,0,0,0,0,0
2002,44114,421830,7,3,2,1,0,0,1,0,0,0
2002,44113,421840,1,1,0,0,0,0,0,0,0,0
2002,44114,421840,2,1,1,0,0,0,0,0,0,0
2002,44115,421840,2,1,0,0,0,0,0,1,0,0
2002,44113,421850,1,0,1,0,0,0,0,0,0,0
2002,44114,421850,3,0,1,1,1,0,0,0,0,0
2002,44113,421860,1,0,1,0,0,0,0,0,0,0
2002,44113,421910,1,0,0,1,0,0,0,0,0,0
2002,44114,421910,2,2,0,0,0,0,0,0,0,0
2002,44113,421920,2,1,0,0,1,0,0,0,0,0
2002,44113,421930,2,0,1,0,1,0,0,0,0,0
2002,44114,421930,1,0,0,0,1,0,0,0,0,0
2002,44115,421930,1,1,0,0,0,0,0,0,0,0
2002,44114,421940,7,6,1,0,0,0,0,0,0,0
2002,44115,421940,2,1,0,1,0,0,0,0,0,0
2002,44114,421990,5,2,3,0,0,0,0,0,0,0
2002,44115,421990,1,1,0,0,0,0,0,0,0,0
2002,44114,422110,1,0,1,0,0,0,0,0,0,0
2002,44113,422120,1,0,1,0,0,0,0,0,0,0
2002,44114,422120,1,1,0,0,0,0,0,0,0,0
2002,44113,422130,1,0,1,0,0,0,0,0,0,0
2002,44114,422130,1,0,0,0,1,0,0,0,0,0
2002,44114,422210,2,0,1,0,1,0,0,0,0,0
2002,44114,422320,1,0,1,0,0,0,0,0,0,0
2002,44113,422340,1,1,0,0,0,0,0,0,0,0
2002,44115,422410,1,0,0,0,0,1,0,0,0,0
2002,44113,422420,1,0,0,0,1,0,0,0,0,0
2002,44115,422420,1,0,0,1,0,0,0,0,0,0
2002,44114,422440,1,1,0,0,0,0,0,0,0,0
2002,44115,422460,1,1,0,0,0,0,0,0,0,0
2002,44113,422470,2,1,0,1,0,0,0,0,0,0
2002,44115,422470,1,0,0,1,0,0,0,0,0,0
2002,44115,422480,14,2,2,4,4,0,2,0,0,0
2002,44113,422490,1,0,0,1,0,0,0,0,0,0
2002,44114,422490,2,0,0,1,1,0,0,0,0,0
2002,44115,422490,1,0,0,0,0,1,0,0,0,0
2002,44113,422610,1,1,0,0,0,0,0,0,0,0
2002,44114,422610,2,0,0,1,0,0,1,0,0,0
2002,44113,422690,5,3,1,1,0,0,0,0,0,0
2002,44114,422690,2,0,1,0,0,0,0,0,0,1
2002,44115,422690,1,1,0,0,0,0,0,0,0,0
2002,44113,422710,5,1,3,0,1,0,0,0,0,0
2002,44114,422710,1,0,0,1,0,0,0,0,0,0
2002,44115,422710,1,0,0,1,0,0,0,0,0,0
2002,44114,422720,2,1,0,1,0,0,0,0,0,0
2002,44115,422720,2,0,1,0,1,0,0,0,0,0
2002,44114,422810,1,0,0,0,0,0,1,0,0,0
2002,44114,422820,1,0,0,1,0,0,0,0,0,0
2002,44115,422910,1,0,0,1,0,0,0,0,0,0
