Zip Code,City Name,City Type Zip,County,State,Lat,Lng,Zip Code Status,Zip Check
43347,Rushsylvania,postal_code,None,OH,40.4715716,-83.666758,OK,43347
43348,Russells Point,postal_code,Logan County,OH,40.4579303,-83.8844068,OK,43348
43349,Shauck,postal_code,Morrow County,OH,40.6216775,-82.66296659999999,OK,43349
43350,Sparta,postal_code,Morrow County,OH,40.3951433,-82.6993023,OK,43350
43351,UPPER SANDSKY,postal_code,Wyandot County,OH,40.8043646,-83.2934086,OK,43351
43356,Waldo,postal_code,None,OH,40.4562037,-83.0468775,OK,43356
43357,West Liberty,postal_code,None,OH,40.2418854,-83.7411631,OK,43357
43358,West Mansfield,postal_code,None,OH,40.4334694,-83.528342,OK,43358
43359,Wharton,postal_code,Wyandot County,OH,40.8758358,-83.4856913,OK,43359
43360,Zanesfield,postal_code,Logan County,OH,40.3474002,-83.624201,OK,43360
43402,Bowling Green,postal_code,Wood County,OH,41.4065709,-83.6561215,OK,43402
43403,Bowling Green,postal_code,Wood County,OH,41.3780983,-83.6375032,OK,43403
43406,Bradner,postal_code,None,OH,41.3453205,-83.4536844,OK,43406
43407,Burgoon,postal_code,None,OH,41.2730101,-83.2398943,OK,43407
43408,Clay Center,postal_code,Ottawa County,OH,41.5636789,-83.3622427,OK,43408
43410,Clyde,postal_code,None,OH,41.2869091,-82.9716617,OK,43410
43412,Curtice,postal_code,None,OH,41.6354646,-83.3041061,OK,43412
43413,Cygnet,postal_code,Wood County,OH,41.2349349,-83.624201,OK,43413
43414,Dunbridge,postal_code,Wood County,OH,41.4575193,-83.60868549999999,OK,43414
43416,Elmore,postal_code,None,OH,41.473828,-83.2613054,OK,43416
43420,Fremont,postal_code,Sandusky County,OH,41.3559092,-83.12200740000002,OK,43420
43430,Genoa,postal_code,None,OH,41.519876,-83.3682539,OK,43430
43431,Gibsonburg,postal_code,None,OH,41.389715,-83.357567,OK,43431
43432,Elliston,postal_code,Ottawa County,OH,41.5521944,-83.2398943,OK,43432
43433,Gypsum,postal_code,Ottawa County,OH,41.505545,-82.871527,OK,43433
43434,Harbor View,postal_code,Lucas County,OH,41.69352,-83.44467949999999,OK,43434
43435,Millersville,postal_code,Sandusky County,OH,41.344821,-83.2720082,OK,43435
43436,IS Saint GEORGE,postal_code,Ottawa County,OH,41.712755,-82.81828,OK,43436
43437,Jerry City,postal_code,Wood County,OH,41.2575906,-83.60424239999999,OK,43437
43438,Kelleys Island,postal_code,Erie County,OH,41.6041026,-82.70773539999999,OK,43438
43439,Lacarne,postal_code,Ottawa County,OH,41.5158097,-83.04185149999999,OK,43439
